nflId,displayName,officialPosition,birthDate,height,weight,collegeName,Year,HandSize,ArmLength,40Yard,BenchPress,VertLeap,BroadJump,Shuttle,3Cone,60YdShuttle,playtotal,PRplaytotal,PBplaytotal,hittotal,hurrytotal,sacktotal,beatentotal,hitallowedtotal,hurryallowedtotal,sackallowedtotal,hitrate,hurryrate,sackrate,beatenrate,hitallowedrate,hurryallowedrate,sackallowedrate
25511,Tom Brady,QB,"August 3, 1977",76,225,Michigan,2000,9.38,32.75,5.3,NA,24.5,99,4.38,7.2,NA,306,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28963,Ben Roethlisberger,QB,"March 2, 1982",77,240,"Miami, O.",2004,9.38,31.5,4.75,NA,NA,NA,NA,NA,NA,238,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29550,Jason Peters,T,"January 22, 1982",76,328,Arkansas,2004,9.38,33.13,4.99,21,29,115,4.75,7.7,NA,224,0,224,NA,NA,NA,9,3,8,3,NA,NA,NA,0.04017857142857143,0.013392857142857142,0.03571428571428571,0.013392857142857142
29851,Aaron Rodgers,QB,"December 2, 1983",74,225,California,2005,10.13,32.25,4.75,NA,34.5,110,4.32,7.38,NA,223,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30078,Ryan Fitzpatrick,QB,"November 24, 1982",74,228,Harvard,2005,10.75,31.13,4.87,NA,30.5,103,4.07,7.09,NA,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30842,Marcedes Lewis,TE,"May 19, 1984",78,267,UCLA,2006,10,34.38,4.84,23,37,118,4.82,7.24,NA,74,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30869,Andrew Whitworth,T,"December 12, 1981",79,330,Louisiana State,2006,10.13,35,5.17,28,30.5,112,4.83,8.23,NA,217,0,217,NA,NA,NA,10,2,5,1,NA,NA,NA,0.04608294930875576,0.009216589861751152,0.02304147465437788,0.004608294930875576
33084,Matt Ryan,QB,"May 17, 1985",76,217,Boston College,2008,9.5,32.63,4.94,NA,NA,NA,4.51,7.4,NA,287,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33107,Duane Brown,T,"August 30, 1985",76,315,Virginia Tech,2008,10,34.25,5.09,24,27.5,105,4.52,7.58,NA,233,0,233,NA,NA,NA,9,5,9,6,NA,NA,NA,0.03862660944206009,0.02145922746781116,0.03862660944206009,0.02575107296137339
33130,DeSean Jackson,WR,"December 1, 1986",70,175,California,2008,9.38,29.75,4.4,NA,34.5,120,4.19,6.82,NA,54,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33131,Calais Campbell,DE,"September 1, 1986",80,300,Miami,2008,9.5,35.75,5.11,16,29.5,111,4.69,7.45,NA,193,193,0,7,13,0,NA,NA,NA,NA,0.03626943005181347,0.06735751295336788,0,NA,NA,NA,NA
33138,Chad Henne,QB,"July 2, 1985",75,222,Michigan,2008,9,31.63,4.95,NA,25.5,106,4.4,7.17,NA,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33241,Josh Johnson,QB,"May 15, 1986",75,219,San Diego,2008,9,30.38,4.53,16,33.5,110,4.42,7.56,11.51,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33566,Danny Amendola,WR,"November 2, 1985",71,185,Texas Tech,2008,NA,NA,4.7,13,27.5,103,4.25,6.81,NA,64,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34452,Matthew Stafford,QB,"February 7, 1988",75,220,Georgia,2009,10,33.25,4.81,NA,30.5,107,4.47,7.06,NA,247,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34457,Andre Smith,T,"January 25, 1987",76,330,Alabama,2009,9.75,35.375,5.28,19,25,94,4.93,7.88,NA,19,0,19,NA,NA,NA,0,0,1,0,NA,NA,NA,0,0,0.05263157894736842,0
34465,Malcolm Jenkins,SS,"December 20, 1987",73,204,Ohio State,2009,9.25,34.5,4.51,15,33,124,4.08,6.59,NA,269,25,0,0,1,1,NA,NA,NA,NA,0,0.04,0.04,NA,NA,NA,NA
34472,Alex Mack,C,"November 19, 1985",76,311,California,2009,10.75,33,5.17,20,28.5,106,4.75,7.31,NA,218,0,218,NA,NA,NA,4,1,1,1,NA,NA,NA,0.01834862385321101,0.0045871559633027525,0.0045871559633027525,0.0045871559633027525
34540,Jared Cook,TE,"April 7, 1987",77,254,South Carolina,2009,NA,NA,4.49,23,41,123,NA,NA,NA,205,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34654,Jason McCourty,FS,"August 13, 1987",71,195,Rutgers,2009,NA,NA,4.3,15,36.5,125,4.25,6.67,NA,173,4,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
