,blockPlayer,totalRushPlayers,totalPlays,totalWinsAllowed,totalHitsAllowed,totalHurriesAllowed,totalSacksAllowed,averageNumRusher,average_epa,displayName,team,officialPosition,height,weight,HandSize,ArmLength,40Yard,BenchPress,VertLeap,BroadJump,Shuttle,3Cone,defWin,defHit,defHurry,defSack,playCount,epa,actualSCRT,average_distance,average_gos,max_speed,max_accel,predictedSCRT,delta
12,52421,249.5,289,6,1,6,1,0.807443366,0.275729265,Tristan Wirfs,TB,T,77,322,10.25,34,4.85,24,36.5,121,4.68,7.65,6,1,6,1,309,85.20034292,-0.010380623,5.024346736,4.510250348,11.84397368,10.9799756,-0.024053924,0.013673301
36,47805,144,156,3,0,14,1,0.894409938,0.257315638,Andre Dillard,PHI,T,77,315,10,33.5,4.96,24,29,118,4.4,7.44,3,0,14,1,161,-10.48100105,-0.015673077,4.652625576,4.917548424,11.4299746,8.9099802,-0.027761054,0.012087977
50,46084,230,257,10,1,11,0,0.871212121,0.284962365,Kolton Miller,LV,T,80,325,10.75,34.125,4.91,24,31.5,121,4.49,7.34,10,1,11,0,264,59.79385515,-0.017490272,5.027517322,5.043628612,9.41397908,12.47397228,-0.029042748,0.011552476
18,37213,82.5,99,2,0,4,1,0.778301887,0.278167749,Marcus Cannon,HOU,T,78,335,9.13,34,5.26,33,30.5,105,4.97,8.07,2,0,4,1,106,3.39889926,-0.012020202,5.18899649,4.638154358,9.07197984,9.0899798,-0.023349285,0.011329083
96,44832,239,274,10,4,8,5,0.84751773,0.284962365,Garett Bolles,DEN,T,77,300,9.38,34,4.95,0,28,115,4.55,7.29,10,4,8,5,282,49.79714088,-0.023394161,4.436129844,4.863601378,8.4599812,11.80797376,-0.032728893,0.009334732
0,42476,65.5,103,1,0,2,0,0.564655172,0.257315638,Max Garcia,ARI,C,76,309,10.25,33.13,5.24,30,28,103,5.12,8.18,1,0,2,0,116,45.94664825,-0.004805825,6.228484438,3.551079065,10.02597772,8.17198184,-0.014121405,0.00931558
19,37082,181,207,5,1,4,1,0.811659193,0.278329396,Tyron Smith,DAL,T,77,320,11,36.38,5.08,29,29,109,4.68,7.47,5,1,4,1,223,62.06745539,-0.012101449,5.51084135,4.318479347,9.75597832,9.55797876,-0.020879617,0.008778168
2,46679,118.5,176,1,0,4,1,0.623684211,0.364544165,Evan Brown,DET,C,74,302,10,32.5,5.03,36,36,113,4.46,7.87,1,0,4,1,190,-40.12303127,-0.005028409,5.091448268,4.086941065,7.39798356,8.80198044,-0.013779722,0.008751313
79,52507,111.5,139,6,1,5,1,0.758503401,0.257315638,Matt Peart,NYG,T,79,303,9.5,36.63,5.06,26,30,113,4.92,8.01,6,1,5,1,147,-10.6410181,-0.020899281,5.466417454,4.620351514,9.52197884,10.2599772,-0.028763489,0.007864208
11,42348,79,109,2,0,5,0,0.699115044,0.275729265,Brandon Scherff,WAS,G,77,315,11,33.38,5.05,23,32.5,107,4.57,7.18,2,0,5,0,113,7.762967268,-0.009954128,5.231091584,4.006004774,11.26797496,9.28797936,-0.017805214,0.007851086
3,41264,168,233,2,0,6,1,0.674698795,0.275729265,Joel Bitonio,CLE,G,76,320,9.63,33.88,4.97,22,32,113,4.44,7.37,2,0,6,1,249,-10.72816707,-0.005922747,6.189354855,4.075394169,10.40397688,13.049971,-0.013239482,0.007316735
